date,value
1924-01-01,295.000
1924-01-31,286.119
1924-03-01,300.250
1924-03-31,278.347
1924-04-30,272.453
1924-05-30,268.558
1924-06-29,308.770
1924-07-29,321.936
1924-08-28,314.043
1924-09-27,309.155
1924-10-27,292.212
1924-11-26,297.357
1924-12-26,295.470
1925-01-25,274.479
1925-02-24,301.750
1925-03-26,272.694
1925-04-25,283.880
1925-05-25,287.019
1925-06-24,320.385
1925-07-24,325.557
1925-08-23,315.608
1925-09-22,313.721
1925-10-22,293.668
1925-11-21,295.808
1925-12-21,299.970
1926-01-20,275.844
1926-02-19,297.185
1926-03-21,261.914
1926-04-20,279.220
1926-05-20,297.553
1926-06-19,319.950
1926-07-19,329.198
1926-08-18,319.200
1926-09-17,316.290
1926-10-17,296.137
1926-11-16,305.390
1926-12-16,308.560
1927-01-15,286.347
1927-02-14,317.956
1927-03-16,300.810
1927-04-15,318.217
1927-05-15,312.245
1927-06-14,333.740
1927-07-14,339.984
1927-08-13,335.032
1927-09-12,335.169
1927-10-12,309.827
1927-11-11,318.110
1927-12-11,318.240
1928-01-10,306.125
1928-02-09,323.604
1928-03-10,298.205
1928-04-09,306.500
1928-05-09,317.868
1928-06-08,352.762
1928-07-08,358.021
1928-08-07,352.027
1928-09-06,343.980
1928-10-06,322.613
1928-11-05,330.940
1928-12-05,330.050
1929-01-04,303.523
1929-02-03,323.137
1929-03-05,294.534
1929-04-04,315.187
1929-05-04,329.694
1929-06-03,363.735
1929-07-03,365.938
1929-08-02,357.860
1929-09-01,343.603
1929-10-01,329.333
1929-10-31,350.058
1929-11-30,341.960
1929-12-30,311.186
1930-01-29,333.990
1930-02-28,314.531
1930-03-30,328.070
1930-04-29,339.555
1930-05-29,370.668
1930-06-28,374.949
1930-07-28,370.967
1930-08-27,363.880
1930-09-26,346.446
1930-10-26,353.828
1930-11-25,340.515
1930-12-25,316.837
1931-01-24,343.897
1931-02-23,320.201
1931-03-25,337.953
1931-04-24,337.052
1931-05-24,367.275
1931-06-23,380.915
1931-07-23,375.877
1931-08-22,367.718
1931-09-21,350.199
1931-10-21,358.656
1931-11-20,352.560
1931-12-20,338.135
1932-01-19,359.087
1932-02-18,321.746
1932-03-19,328.125
1932-04-18,348.056
1932-05-18,385.725
1932-06-17,399.437
1932-07-17,391.250
1932-08-16,386.188
1932-09-15,359.193
1932-10-15,370.827
1932-11-14,361.570
1932-12-14,331.397
1933-01-13,363.950
1933-02-12,346.309
1933-03-14,361.100
1933-04-13,364.385
1933-05-13,398.050
1933-06-12,399.256
1933-07-12,395.222
1933-08-11,394.330
1933-09-10,365.110
1933-10-10,373.652
1933-11-09,361.200
1933-12-09,336.133
1934-01-08,364.639
1934-02-07,342.707
1934-03-09,360.722
1934-04-08,355.604
1934-05-08,379.952
1934-06-07,387.473
1934-07-07,398.160
1934-08-06,394.102
1934-09-05,365.796
1934-10-05,377.541
1934-11-04,368.195
1934-12-04,340.900
1935-01-03,377.988
1935-02-02,349.619
1935-03-04,357.153
1935-04-03,362.580
1935-05-03,395.505
1935-06-02,402.008
1935-07-02,398.992
1935-08-01,389.620
1935-08-31,366.472
1935-09-30,379.331
1935-10-30,358.280
1935-11-29,348.877
1935-12-29,368.109
1936-01-28,347.029
1936-02-27,355.658
1936-03-28,356.860
1936-04-27,393.125
1936-05-27,424.104
1936-06-26,409.383
1936-07-26,391.460
1936-08-25,373.523
1936-09-24,385.379
1936-10-24,381.270
1936-11-23,354.784
1936-12-23,379.437
1937-01-22,357.194
1937-02-21,371.200
1937-03-23,369.211
1937-04-22,399.245
1937-05-22,412.216
1937-06-21,410.240
1937-07-21,397.575
1937-08-20,366.724
1937-09-19,370.076
1937-10-19,370.220
1937-11-18,340.392
1937-12-18,384.429
1938-01-17,351.370
1938-02-16,356.865
1938-03-18,352.715
1938-04-17,392.535
1938-05-17,400.198
1938-06-16,393.913
1938-07-16,389.771
1938-08-15,361.994
1938-09-14,371.806
1938-10-14,381.625
1938-11-13,337.681
1938-12-13,369.011
1939-01-12,346.552
1939-02-11,361.760
1939-03-13,352.206
1939-04-12,390.055
1939-05-12,394.517
1939-06-11,389.278
1939-07-11,386.193
1939-08-10,352.887
1939-09-09,356.262
1939-10-09,362.880
1939-11-08,352.216
1939-12-08,364.241
1940-01-07,341.675
1940-02-06,358.032
1940-03-07,358.170
1940-04-06,388.618
1940-05-06,379.021
1940-06-05,385.667
1940-07-05,376.061
1940-08-04,355.607
1940-09-03,364.420
1940-10-03,341.775
1940-11-02,316.942
1940-12-02,349.638
1941-01-01,316.099
1941-01-31,328.173
1941-03-02,336.996
1941-04-01,358.875
1941-05-01,364.452
1941-05-31,362.415
1941-06-30,346.223
1941-07-30,332.196
1941-08-29,341.040
1941-09-28,328.090
1941-10-28,306.407
1941-11-27,329.432
1941-12-27,317.554
1942-01-26,324.225
1942-02-25,317.796
1942-03-27,339.767
1942-04-26,348.640
1942-05-26,346.587
1942-06-25,346.719
1942-07-25,323.873
1942-08-24,336.037
1942-09-23,323.025
1942-10-23,290.285
1942-11-22,328.750
1942-12-22,297.084
1943-01-21,319.130
1943-02-20,318.154
1943-03-22,340.225
1943-04-21,349.137
1943-05-21,340.483
1943-06-20,334.020
1943-07-20,313.262
1943-08-19,316.680
1943-09-18,304.700
1943-10-18,286.108
1943-11-17,310.435
1943-12-17,301.743
1944-01-16,317.280
1944-02-15,316.298
1944-03-16,339.570
1944-04-15,344.110
1944-05-15,337.620
1944-06-14,335.540
1944-07-14,311.375
1944-08-13,336.898
1944-09-12,313.820
1944-10-12,301.779
1944-11-11,316.268
1944-12-11,314.175
1945-01-10,325.360
1945-02-09,318.840
1945-03-11,348.862
1945-04-10,356.749
1945-05-10,351.342
1945-06-09,342.604
1945-07-09,327.204
1945-08-08,339.533
1945-09-07,333.000
1945-10-07,305.365
1945-11-06,334.361
1945-12-06,324.485
1946-01-05,331.277
1946-02-04,340.298
1946-03-06,362.675
1946-04-05,369.488
1946-05-05,366.287
1946-06-04,365.310
1946-07-04,343.163
1946-08-03,361.125
1946-09-02,333.385
1946-10-02,316.778
1946-11-01,341.445
1946-12-01,323.712
1946-12-31,326.067
1947-01-30,318.369
1947-03-01,329.662
1947-03-31,342.082
1947-04-30,354.512
1947-05-30,341.219
1947-06-29,329.035
1947-07-29,321.320
1947-08-28,311.360
1947-09-27,292.429
1947-10-27,308.229
1947-11-26,287.040
1947-12-26,302.850
1948-01-25,296.230
1948-02-24,297.463
1948-03-25,318.908
1948-04-24,319.027
1948-05-24,309.031
1948-06-23,302.401
1948-07-23,309.260
1948-08-22,291.375
1948-09-21,274.602
1948-10-21,300.598
1948-11-20,287.194
1948-12-20,292.933
1949-01-19,285.152
1949-02-18,301.042
1949-03-20,312.433
1949-04-19,312.548
1949-05-19,297.990
1949-06-18,287.938
1949-07-18,293.692
1949-08-17,294.930
1949-09-16,269.039
1949-10-16,290.624
1949-11-15,278.288
1949-12-15,287.443
1950-01-14,288.681
1950-02-13,309.173
1950-03-15,312.685
1950-04-14,324.133
1950-05-14,320.851
1950-06-13,296.018
1950-07-13,313.145
1950-08-12,299.640
1950-09-11,275.906
1950-10-11,294.181
1950-11-10,284.062
1950-12-10,297.807
1951-01-09,287.682
1951-02-08,318.500
1951-03-10,327.720
1951-04-09,307.350
1951-05-09,310.879
1951-06-08,274.539
1951-07-08,303.129
1951-08-07,292.980
1951-09-06,275.981
1951-10-06,303.462
1951-11-05,275.041
1951-12-05,287.700
1952-01-04,285.521
1952-02-03,321.043
1952-03-04,317.731
1952-04-03,326.993
1952-05-03,317.963
1952-06-02,297.483
1952-07-02,311.327
1952-08-01,313.730
1952-08-31,293.227
1952-09-30,316.250
1952-10-30,296.879
1952-11-29,313.040
1952-12-29,312.007
1953-01-28,340.808
1953-02-27,339.783
1953-03-29,333.017
1953-04-28,323.947
1953-05-28,301.082
1953-06-27,316.135
1953-07-27,301.300
1953-08-26,288.755
1953-09-25,327.988
1953-10-25,299.325
1953-11-24,313.253
1953-12-24,305.302
1954-01-23,341.140
1954-02-22,359.710
1954-03-24,333.313
1954-04-23,325.358
1954-05-23,316.242
1954-06-22,324.438
1954-07-22,317.625
1954-08-21,305.030
1954-09-20,320.166
1954-10-20,316.812
1954-11-19,288.010
1954-12-19,292.742
1955-01-18,339.147
1955-02-17,358.954
1955-03-19,357.925
1955-04-18,347.625
1955-05-18,316.452
1955-06-17,315.407
1955-07-17,321.320
1955-08-16,291.265
1955-09-15,340.124
1955-10-15,303.086
1955-11-14,305.518
1955-12-14,317.249
1956-01-13,355.725
1956-02-12,353.527
1956-03-13,353.653
1956-04-12,347.961
1956-05-12,322.474
1956-06-11,333.071
1956-07-11,323.870
1956-08-10,301.843
1956-09-09,326.433
1956-10-09,296.228
1956-11-08,311.500
1956-12-08,337.287
1957-01-07,360.757
1957-02-06,360.886
1957-03-08,352.837
1957-04-07,358.806
1957-05-07,335.551
1957-06-06,330.992
1957-07-06,331.110
1957-08-05,325.376
1957-09-04,357.104
1957-10-04,319.751
1957-11-03,351.500
1957-12-03,352.797
1958-01-02,377.545
1958-02-01,382.371
1958-03-03,376.640
1958-04-02,379.121
1958-05-02,341.682
1958-06-01,351.200
1958-07-01,353.675
1958-07-31,342.046
1958-08-30,353.926
1958-09-29,323.469
1958-10-29,338.880
1958-11-28,341.354
1958-12-28,387.397
1959-01-27,398.136
1959-02-26,397.098
1959-03-28,373.664
1959-04-27,351.392
1959-05-27,365.671
1959-06-26,363.440
1959-07-26,335.238
1959-08-25,360.154
1959-09-24,322.481
1959-10-24,337.957
1959-11-23,360.535
1959-12-23,390.225
1960-01-22,403.375
1960-02-21,395.233
1960-03-22,387.086
1960-04-21,361.171
1960-05-21,398.020
1960-06-20,381.570
1960-07-20,348.513
1960-08-19,364.051
1960-09-18,352.316
1960-10-18,360.747
1960-11-17,378.680
1960-12-17,399.000
1961-01-16,412.207
1961-02-15,413.540
1961-03-17,406.553
1961-04-16,372.209
1961-05-16,398.510
1961-06-15,368.900
1961-07-15,336.888
1961-08-14,366.777
1961-09-13,346.654
1961-10-13,369.417
1961-11-12,368.354
1961-12-12,407.835
1962-01-11,421.100
1962-02-10,416.473
1962-03-12,411.844
1962-04-11,380.939
1962-05-11,388.240
1962-06-10,396.740
1962-07-10,363.407
1962-08-09,387.450
1962-09-08,358.875
1962-10-08,355.410
1962-11-07,392.643
1962-12-07,427.507
1963-01-06,454.010
1963-02-05,429.003
1963-03-07,417.165
1963-04-06,387.331
1963-05-06,415.056
1963-06-05,390.000
1963-07-05,370.929
1963-08-04,392.673
1963-09-03,372.387
1963-10-03,406.163
1963-11-02,401.496
1963-12-02,444.925
1964-01-01,434.253
1964-01-31,436.810
1964-03-01,436.961
1964-03-31,397.375
1964-04-30,424.013
1964-05-30,394.035
1964-06-29,370.063
1964-07-29,405.160
1964-08-28,381.175
1964-09-27,400.613
1964-10-27,382.645
1964-11-26,409.343
1964-12-26,434.850
1965-01-25,427.750
1965-02-24,425.480
1965-03-26,403.862
1965-04-25,425.773
1965-05-25,405.350
1965-06-24,370.387
1965-07-24,405.629
1965-08-23,374.276
1965-09-22,392.580
1965-10-22,393.927
1965-11-21,424.375
1965-12-21,440.289
1966-01-20,438.013
1966-02-19,426.026
1966-03-21,403.103
1966-04-20,408.100
1966-05-20,404.595
1966-06-19,377.995
1966-07-19,417.031
1966-08-18,368.524
1966-09-17,396.633
1966-10-17,394.335
1966-11-16,432.213
1966-12-16,459.155
1967-01-15,462.967
1967-02-14,421.688
1967-03-16,414.517
1967-04-15,429.293
1967-05-15,409.920
1967-06-14,377.109
1967-07-14,413.863
1967-08-13,384.694
1967-09-12,406.815
1967-10-12,404.510
1967-11-11,452.325
1967-12-11,452.479
1968-01-10,459.973
1968-02-09,429.536
1968-03-10,403.975
1968-04-09,397.990
1968-05-09,400.575
1968-06-08,362.723
1968-07-08,413.106
1968-08-07,389.948
1968-09-06,402.347
1968-10-06,375.488
1968-11-05,427.170
1968-12-05,432.227
1969-01-04,439.743
1969-02-03,434.978
1969-03-05,409.312
1969-04-04,404.533
1969-05-04,413.280
1969-06-03,366.664
1969-07-03,395.098
1969-08-02,369.375
1969-09-01,401.523
1969-10-01,396.731
1969-10-31,431.375
1969-11-30,445.083
1969-12-30,421.800
1970-01-29,419.475
1970-02-28,391.231
1970-03-30,382.721
1970-04-29,387.790
1970-05-29,373.096
1970-06-28,399.174
1970-07-28,378.293
1970-08-27,394.497
1970-09-26,404.526
1970-10-26,418.275
1970-11-25,415.940
1970-12-25,427.225
1971-01-24,411.265
1971-02-23,394.055
1971-03-25,389.229
1971-04-24,385.640
1971-05-24,353.519
1971-06-23,372.250
1971-07-23,354.998
1971-08-22,363.808
1971-09-21,362.688
1971-10-21,396.357
1971-11-20,390.276
1971-12-20,399.110
1972-01-19,385.562
1972-02-18,367.029
1972-03-19,380.843
1972-04-18,368.520
1972-05-18,322.563
1972-06-17,363.783
1972-07-17,333.995
1972-08-16,346.573
1972-09-15,335.465
1972-10-15,358.033
1972-11-14,376.871
1972-12-14,384.487
1973-01-13,390.859
1973-02-12,364.757
1973-03-14,367.377
1973-04-13,350.000
1973-05-13,321.357
1973-06-12,348.983
1973-07-12,314.064
1973-08-11,349.215
1973-09-10,345.575
1973-10-10,375.750
1973-11-09,375.875
1973-12-09,372.240
1974-01-08,354.811
1974-02-07,336.117
1974-03-09,356.302
1974-04-08,340.105
1974-05-08,308.832
1974-06-07,340.331
1974-07-07,324.113
1974-08-06,348.097
1974-09-05,349.469
1974-10-05,367.190
1974-11-04,366.054
1974-12-04,354.850
1975-01-03,372.590
1975-02-02,341.234
1975-03-04,371.577
1975-04-03,342.720
1975-05-03,321.406
1975-06-02,340.425
1975-07-02,327.925
1975-08-01,348.220
1975-08-31,334.452
1975-09-30,391.375
1975-10-30,378.875
1975-11-29,384.053
1975-12-29,371.542
1976-01-28,357.759
1976-02-27,374.317
1976-03-28,370.645
1976-04-27,329.008
1976-05-27,351.902
1976-06-26,339.355
1976-07-26,371.133
1976-08-25,382.659
1976-09-24,385.320
1976-10-24,399.394
1976-11-23,390.647
1976-12-23,395.850
1977-01-22,379.481
1977-02-21,399.919
1977-03-23,354.330
1977-04-22,339.201
1977-05-22,367.271
1977-06-21,349.594
1977-07-21,343.350
1977-08-20,352.367
1977-09-19,346.120
1977-10-19,361.508
1977-11-18,380.727
1977-12-18,379.577
1978-01-17,344.025
1978-02-16,345.412
1978-03-18,339.150
1978-04-17,322.680
1978-05-17,332.993
1978-06-16,303.748
1978-07-16,328.103
1978-08-15,321.825
1978-09-14,318.098
1978-10-14,355.261
1978-11-13,343.872
1978-12-13,338.869
1979-01-12,319.792
1979-02-11,341.649
1979-03-13,323.840
1979-04-12,286.813
1979-05-12,331.736
1979-06-11,321.594
1979-07-11,316.572
1979-08-10,306.418
1979-09-09,336.015
1979-10-09,328.427
1979-11-08,338.800
1979-12-08,317.086
1980-01-07,319.757
1980-02-06,318.577
1980-03-07,308.400
1980-04-06,278.935
1980-05-06,317.601
1980-06-05,304.841
1980-07-05,301.080
1980-08-04,308.900
1980-09-03,338.613
1980-10-03,334.858
1980-11-02,342.697
1980-12-02,337.653
1981-01-01,328.737
1981-01-31,344.319
1981-03-02,328.950
1981-04-01,295.505
1981-05-01,317.545
1981-05-31,316.356
1981-06-30,307.417
1981-07-30,311.392
1981-08-29,342.512
1981-09-28,360.724
1981-10-28,324.627
1981-11-27,337.669
1981-12-27,280.834
1982-01-26,317.173
1982-02-25,315.980
1982-03-27,284.992
1982-04-26,322.663
1982-05-26,292.953
1982-06-25,311.200
1982-07-25,294.438
1982-08-24,358.110
1982-09-23,341.352
1982-10-23,347.953
1982-11-22,331.181
1982-12-22,320.894
1983-01-21,331.394
1983-02-20,334.100
1983-03-22,304.297
1983-04-21,348.623
1983-05-21,326.614
1983-06-20,324.115
1983-07-20,335.938
1983-08-19,368.608
1983-09-18,375.240
1983-10-18,362.327
1983-11-17,340.279
1983-12-17,324.738
1984-01-16,335.278
1984-02-15,326.250
1984-03-16,319.827
1984-04-15,364.328
1984-05-15,329.175
1984-06-14,330.587
1984-07-14,315.007
1984-08-13,377.868
1984-09-12,392.375
1984-10-12,350.633
1984-11-11,352.054
1984-12-11,344.311
1985-01-10,349.659
